,dataset,model,algorithm,fold,metric,value
90,HLM,PhysChem,linear,0,MAE,0.743778537140524
91,HLM,PhysChem,linear,0,RMSE,7.65161716483358
92,HLM,PhysChem,linear,0,R2,-171.7673674654591
93,HLM,PhysChem,linear,1,MAE,0.4074815473822493
94,HLM,PhysChem,linear,1,RMSE,0.515222286301982
95,HLM,PhysChem,linear,1,R2,0.033441918195706744
96,HLM,PhysChem,linear,2,MAE,0.4285967370354794
97,HLM,PhysChem,linear,2,RMSE,0.7560881438253951
98,HLM,PhysChem,linear,2,R2,-1.323551992606638
99,HLM,PhysChem,linear,3,MAE,0.399875000606854
100,HLM,PhysChem,linear,3,RMSE,0.6005937891683625
101,HLM,PhysChem,linear,3,R2,-0.3473705369739484
102,HLM,PhysChem,linear,4,MAE,0.6323541637768354
103,HLM,PhysChem,linear,4,RMSE,4.767679414327769
104,HLM,PhysChem,linear,4,R2,-71.24374000100607
105,HLM,PhysChem,svm,0,MAE,0.3632376642026792
106,HLM,PhysChem,svm,0,RMSE,0.44926290573263766
107,HLM,PhysChem,svm,0,R2,0.40439768969748613
108,HLM,PhysChem,svm,1,MAE,0.3782744568345068
109,HLM,PhysChem,svm,1,RMSE,0.46721108318677296
110,HLM,PhysChem,svm,1,R2,0.20518702406160672
111,HLM,PhysChem,svm,2,MAE,0.36968745820236704
112,HLM,PhysChem,svm,2,RMSE,0.45630104261011667
113,HLM,PhysChem,svm,2,R2,0.1537270467542441
114,HLM,PhysChem,svm,3,MAE,0.3920882878847712
115,HLM,PhysChem,svm,3,RMSE,0.48438175808095585
116,HLM,PhysChem,svm,3,R2,0.12360290136790841
117,HLM,PhysChem,svm,4,MAE,0.3938934158777515
118,HLM,PhysChem,svm,4,RMSE,0.4831326551049551
119,HLM,PhysChem,svm,4,R2,0.25814519167326233
120,HLM,PhysChem,random-forest,0,MAE,0.41270700193897175
121,HLM,PhysChem,random-forest,0,RMSE,0.49846535648445733
122,HLM,PhysChem,random-forest,0,R2,0.2667953502846704
123,HLM,PhysChem,random-forest,1,MAE,0.39867836097577725
124,HLM,PhysChem,random-forest,1,RMSE,0.4796345759707719
125,HLM,PhysChem,random-forest,1,R2,0.1623556921114826
126,HLM,PhysChem,random-forest,2,MAE,0.3731099944922506
127,HLM,PhysChem,random-forest,2,RMSE,0.469067945941382
128,HLM,PhysChem,random-forest,2,R2,0.10570860639948498
129,HLM,PhysChem,random-forest,3,MAE,0.36719794162609704
130,HLM,PhysChem,random-forest,3,RMSE,0.4555005550833685
131,HLM,PhysChem,random-forest,3,R2,0.22499733856588489
132,HLM,PhysChem,random-forest,4,MAE,0.4146976325066194
133,HLM,PhysChem,random-forest,4,RMSE,0.4988369480770809
134,HLM,PhysChem,random-forest,4,R2,0.20913317598877978
135,HLM,MolBERT,linear,0,MAE,0.5024446316668565
136,HLM,MolBERT,linear,0,RMSE,0.6428682078355867
137,HLM,MolBERT,linear,0,R2,-0.21954870110988334
138,HLM,MolBERT,linear,1,MAE,0.4678747850749606
139,HLM,MolBERT,linear,1,RMSE,0.5941787141288326
140,HLM,MolBERT,linear,1,R2,-0.28550229020186424
141,HLM,MolBERT,linear,2,MAE,0.4879318314593236
142,HLM,MolBERT,linear,2,RMSE,0.609399437499
143,HLM,MolBERT,linear,2,R2,-0.5094253412325804
144,HLM,MolBERT,linear,3,MAE,0.460189413880984
145,HLM,MolBERT,linear,3,RMSE,0.5653642234881001
146,HLM,MolBERT,linear,3,R2,-0.19393866871598364
147,HLM,MolBERT,linear,4,MAE,0.4954235549378709
148,HLM,MolBERT,linear,4,RMSE,0.6131355464226517
149,HLM,MolBERT,linear,4,R2,-0.19481074813251298
150,HLM,MolBERT,svm,0,MAE,0.3758030480392983
151,HLM,MolBERT,svm,0,RMSE,0.4596610582871479
152,HLM,MolBERT,svm,0,R2,0.37650830139781555
153,HLM,MolBERT,svm,1,MAE,0.3801423346531423
154,HLM,MolBERT,svm,1,RMSE,0.4714275403407075
155,HLM,MolBERT,svm,1,R2,0.19077633366084001
156,HLM,MolBERT,svm,2,MAE,0.36107029481554287
157,HLM,MolBERT,svm,2,RMSE,0.4436680734198647
158,HLM,MolBERT,svm,2,R2,0.1999375376446899
159,HLM,MolBERT,svm,3,MAE,0.35077970457053165
160,HLM,MolBERT,svm,3,RMSE,0.4500425092707446
161,HLM,MolBERT,svm,3,R2,0.24345903723149953
162,HLM,MolBERT,svm,4,MAE,0.38317267050913023
163,HLM,MolBERT,svm,4,RMSE,0.4685825886124004
164,HLM,MolBERT,svm,4,R2,0.3021558772904738
165,HLM,MolBERT,random-forest,0,MAE,0.4322313845839718
166,HLM,MolBERT,random-forest,0,RMSE,0.5174475728754994
167,HLM,MolBERT,random-forest,0,R2,0.20988927190140705
168,HLM,MolBERT,random-forest,1,MAE,0.4120136706560362
169,HLM,MolBERT,random-forest,1,RMSE,0.48857269787262564
170,HLM,MolBERT,random-forest,1,R2,0.13084533754469285
171,HLM,MolBERT,random-forest,2,MAE,0.3739717122192072
172,HLM,MolBERT,random-forest,2,RMSE,0.45724926406469363
173,HLM,MolBERT,random-forest,2,R2,0.1502061784235197
174,HLM,MolBERT,random-forest,3,MAE,0.3794221614500693
175,HLM,MolBERT,random-forest,3,RMSE,0.4583043977112225
176,HLM,MolBERT,random-forest,3,R2,0.21542688512955988
177,HLM,MolBERT,random-forest,4,MAE,0.4240826537395982
178,HLM,MolBERT,random-forest,4,RMSE,0.506039494262242
179,HLM,MolBERT,random-forest,4,R2,0.1861301564904838
180,Permeability,ECFP4,linear,0,MAE,2.8035296615009213
181,Permeability,ECFP4,linear,0,RMSE,3.508748842220918
182,Permeability,ECFP4,linear,0,R2,-25.282614972701072
183,Permeability,ECFP4,linear,1,MAE,2.4812354058042074
184,Permeability,ECFP4,linear,1,RMSE,3.0946318316461094
185,Permeability,ECFP4,linear,1,R2,-19.264187862081382
186,Permeability,ECFP4,linear,2,MAE,2.1621501250015163
187,Permeability,ECFP4,linear,2,RMSE,2.758832157453372
188,Permeability,ECFP4,linear,2,R2,-13.603070097218064
189,Permeability,ECFP4,linear,3,MAE,2.084751212979213
190,Permeability,ECFP4,linear,3,RMSE,2.639803126899474
191,Permeability,ECFP4,linear,3,R2,-15.041858959538214
192,Permeability,ECFP4,linear,4,MAE,2.136492430111793
193,Permeability,ECFP4,linear,4,RMSE,2.659474184462491
194,Permeability,ECFP4,linear,4,R2,-14.31864933112083
195,Permeability,ECFP4,svm,0,MAE,0.4173918201501663
196,Permeability,ECFP4,svm,0,RMSE,0.5213845695980899
197,Permeability,ECFP4,svm,0,R2,0.4196628717388742
198,Permeability,ECFP4,svm,1,MAE,0.3823250140347344
199,Permeability,ECFP4,svm,1,RMSE,0.4870198961409458
200,Permeability,ECFP4,svm,1,R2,0.4981145173404128
201,Permeability,ECFP4,svm,2,MAE,0.4443312990272341
202,Permeability,ECFP4,svm,2,RMSE,0.5542953030978848
203,Permeability,ECFP4,svm,2,R2,0.4105105895300445
204,Permeability,ECFP4,svm,3,MAE,0.3944146766022581
205,Permeability,ECFP4,svm,3,RMSE,0.49859996475491725
206,Permeability,ECFP4,svm,3,R2,0.4277100718792316
207,Permeability,ECFP4,svm,4,MAE,0.41813522951915044
208,Permeability,ECFP4,svm,4,RMSE,0.5279073077001849
209,Permeability,ECFP4,svm,4,R2,0.39640690291112923
210,Permeability,ECFP4,random-forest,0,MAE,0.4799932322812946
211,Permeability,ECFP4,random-forest,0,RMSE,0.5961574415852589
212,Permeability,ECFP4,random-forest,0,R2,0.24127228721259142
213,Permeability,ECFP4,random-forest,1,MAE,0.4387559746953777
214,Permeability,ECFP4,random-forest,1,RMSE,0.5555076222838292
215,Permeability,ECFP4,random-forest,1,R2,0.3470329432522907
216,Permeability,ECFP4,random-forest,2,MAE,0.49038968629757757
217,Permeability,ECFP4,random-forest,2,RMSE,0.6210542135553351
218,Permeability,ECFP4,random-forest,2,R2,0.25996435965003073
219,Permeability,ECFP4,random-forest,3,MAE,0.43840335356417626
220,Permeability,ECFP4,random-forest,3,RMSE,0.5594735852556912
221,Permeability,ECFP4,random-forest,3,R2,0.27943893888223637
222,Permeability,ECFP4,random-forest,4,MAE,0.46716379925708734
223,Permeability,ECFP4,random-forest,4,RMSE,0.576480801549569
224,Permeability,ECFP4,random-forest,4,R2,0.28022192449063144
225,Permeability,MolFormer,linear,0,MAE,0.47963687619018186
226,Permeability,MolFormer,linear,0,RMSE,0.6056444108436883
227,Permeability,MolFormer,linear,0,R2,0.21693207442511686
228,Permeability,MolFormer,linear,1,MAE,0.451138145822328
229,Permeability,MolFormer,linear,1,RMSE,0.5692929467094329
230,Permeability,MolFormer,linear,1,R2,0.31422313102966026
231,Permeability,MolFormer,linear,2,MAE,0.49426602079270654
232,Permeability,MolFormer,linear,2,RMSE,0.6060456960701588
233,Permeability,MolFormer,linear,2,R2,0.2952998669260236
234,Permeability,MolFormer,linear,3,MAE,0.45635404175755306
235,Permeability,MolFormer,linear,3,RMSE,0.5769798298481873
236,Permeability,MolFormer,linear,3,R2,0.2336399124797658
237,Permeability,MolFormer,linear,4,MAE,0.48655197027419966
238,Permeability,MolFormer,linear,4,RMSE,0.6210767190346065
239,Permeability,MolFormer,linear,4,R2,0.16455201326251467
240,Permeability,MolFormer,svm,0,MAE,0.3880008440558277
241,Permeability,MolFormer,svm,0,RMSE,0.49370600009796956
242,Permeability,MolFormer,svm,0,R2,0.4796436977549208
243,Permeability,MolFormer,svm,1,MAE,0.3679154036136998
244,Permeability,MolFormer,svm,1,RMSE,0.47366228333890237
245,Permeability,MolFormer,svm,1,R2,0.5252676418604859
246,Permeability,MolFormer,svm,2,MAE,0.4114970516278227
247,Permeability,MolFormer,svm,2,RMSE,0.5225192823425536
248,Permeability,MolFormer,svm,2,R2,0.476160486779028
249,Permeability,MolFormer,svm,3,MAE,0.3845762445636728
250,Permeability,MolFormer,svm,3,RMSE,0.4971647610848438
251,Permeability,MolFormer,svm,3,R2,0.4309999657615956
252,Permeability,MolFormer,svm,4,MAE,0.4002133907457276
253,Permeability,MolFormer,svm,4,RMSE,0.5189445030367815
254,Permeability,MolFormer,svm,4,R2,0.4167285103028663
255,Permeability,MolFormer,random-forest,0,MAE,0.4856478252867168
