,objective,dataset,algorithm,da,train_size,fold,metric,value
79,mtr,Solubility,svm,CL,0,3,RMSE,0.7501100993566772
80,mtr,Solubility,svm,CL,0,3,R2,-0.0715980199397732
81,mtr,Solubility,svm,MTR,0,3,MAE,0.4825826847153618
82,mtr,Solubility,svm,MTR,0,3,RMSE,0.6669942958337024
83,mtr,Solubility,svm,MTR,0,3,R2,0.1527216357685009
84,mtr,Solubility,svm,No DA,0,4,MAE,0.4087698261682062
85,mtr,Solubility,svm,No DA,0,4,RMSE,0.6869552486140997
86,mtr,Solubility,svm,No DA,0,4,R2,-0.0639307810930673
87,mtr,Solubility,svm,No DA,30,4,MAE,0.4314226304153226
88,mtr,Solubility,svm,No DA,30,4,RMSE,0.5736735663590251
89,mtr,Solubility,svm,No DA,30,4,R2,0.2580303180172407
90,mtr,Solubility,svm,No DA,60,4,MAE,0.4247052437476405
91,mtr,Solubility,svm,No DA,60,4,RMSE,0.5725976110042198
92,mtr,Solubility,svm,No DA,60,4,R2,0.2608109153725378
93,mtr,Solubility,svm,No DA,100,4,MAE,0.4185330184344431
94,mtr,Solubility,svm,No DA,100,4,RMSE,0.5646171341681867
95,mtr,Solubility,svm,No DA,100,4,R2,0.2812719601228857
96,mtr,Solubility,svm,MLM,0,4,MAE,0.427397105540756
97,mtr,Solubility,svm,MLM,0,4,RMSE,0.6851162053716616
98,mtr,Solubility,svm,MLM,0,4,R2,-0.0582419223287273
99,mtr,Solubility,svm,CL,0,4,MAE,0.5093713890110014
100,mtr,Solubility,svm,CL,0,4,RMSE,0.7225271471652164
101,mtr,Solubility,svm,CL,0,4,R2,-0.1769684473871899
102,mtr,Solubility,svm,MTR,0,4,MAE,0.4707189056081057
103,mtr,Solubility,svm,MTR,0,4,RMSE,0.6626237541505718
104,mtr,Solubility,svm,MTR,0,4,R2,0.0101019172749035
105,mtr,Solubility,linear,No DA,0,0,MAE,0.6448041580294789
106,mtr,Solubility,linear,No DA,0,0,RMSE,0.8093207749002228
107,mtr,Solubility,linear,No DA,0,0,R2,-0.3998758800854405
108,mtr,Solubility,linear,No DA,30,0,MAE,0.5586917448929363
109,mtr,Solubility,linear,No DA,30,0,RMSE,0.737547968907397
110,mtr,Solubility,linear,No DA,30,0,R2,-0.1625956564550359
111,mtr,Solubility,linear,No DA,60,0,MAE,0.5493224889225323
112,mtr,Solubility,linear,No DA,60,0,RMSE,0.7297031742889772
113,mtr,Solubility,linear,No DA,60,0,R2,-0.1379957085238512
114,mtr,Solubility,linear,No DA,100,0,MAE,0.5738625143062303
115,mtr,Solubility,linear,No DA,100,0,RMSE,0.7607329098905179
116,mtr,Solubility,linear,No DA,100,0,R2,-0.2368372670907648
117,mtr,Solubility,linear,MLM,0,0,MAE,0.6442249639045274
118,mtr,Solubility,linear,MLM,0,0,RMSE,0.838018968563954
119,mtr,Solubility,linear,MLM,0,0,R2,-0.5009141477810954
120,mtr,Solubility,linear,CL,0,0,MAE,0.6511885913757459
121,mtr,Solubility,linear,CL,0,0,RMSE,0.8309799059182414
122,mtr,Solubility,linear,CL,0,0,R2,-0.4758057484337303
123,mtr,Solubility,linear,MTR,0,0,MAE,0.6209034639453905
124,mtr,Solubility,linear,MTR,0,0,RMSE,0.8086412409339572
125,mtr,Solubility,linear,MTR,0,0,R2,-0.3975260976958863
126,mtr,Solubility,linear,No DA,0,1,MAE,0.6668721910425848
127,mtr,Solubility,linear,No DA,0,1,RMSE,0.8521329413699827
128,mtr,Solubility,linear,No DA,0,1,R2,-0.7590337713735129
129,mtr,Solubility,linear,No DA,30,1,MAE,0.5677862304247425
130,mtr,Solubility,linear,No DA,30,1,RMSE,0.8060094040714195
131,mtr,Solubility,linear,No DA,30,1,R2,-0.5737642899787063
132,mtr,Solubility,linear,No DA,60,1,MAE,0.6183419168538051
133,mtr,Solubility,linear,No DA,60,1,RMSE,0.8113447807469116
134,mtr,Solubility,linear,No DA,60,1,R2,-0.5946683041503709
135,mtr,Solubility,linear,No DA,100,1,MAE,0.550102219551746
136,mtr,Solubility,linear,No DA,100,1,RMSE,0.7438543483740595
137,mtr,Solubility,linear,No DA,100,1,R2,-0.3404026597961351
138,mtr,Solubility,linear,MLM,0,1,MAE,0.7039497878997666
139,mtr,Solubility,linear,MLM,0,1,RMSE,0.904918019001926
140,mtr,Solubility,linear,MLM,0,1,R2,-0.9837088958575152
141,mtr,Solubility,linear,CL,0,1,MAE,0.654995902211668
142,mtr,Solubility,linear,CL,0,1,RMSE,0.8455483031682934
143,mtr,Solubility,linear,CL,0,1,R2,-0.7319538414154501
144,mtr,Solubility,linear,MTR,0,1,MAE,0.5662323630069536
145,mtr,Solubility,linear,MTR,0,1,RMSE,0.7335434865045329
146,mtr,Solubility,linear,MTR,0,1,R2,-0.3035004906004057
147,mtr,Solubility,linear,No DA,0,2,MAE,0.6688697711891849
148,mtr,Solubility,linear,No DA,0,2,RMSE,0.8866689506220172
149,mtr,Solubility,linear,No DA,0,2,R2,-0.6043414748291289
150,mtr,Solubility,linear,No DA,30,2,MAE,0.5931142240967968
151,mtr,Solubility,linear,No DA,30,2,RMSE,0.8005251496450356
152,mtr,Solubility,linear,No DA,30,2,R2,-0.3077471148477719
153,mtr,Solubility,linear,No DA,60,2,MAE,0.5458054623680644
154,mtr,Solubility,linear,No DA,60,2,RMSE,0.7421611491620808
155,mtr,Solubility,linear,No DA,60,2,R2,-0.124010172654674
156,mtr,Solubility,linear,No DA,100,2,MAE,0.5815572144169575
157,mtr,Solubility,linear,No DA,100,2,RMSE,0.7772191142974999
158,mtr,Solubility,linear,No DA,100,2,R2,-0.2327095346752035
159,mtr,Solubility,linear,MLM,0,2,MAE,0.6185762091192555
160,mtr,Solubility,linear,MLM,0,2,RMSE,0.8087899200798359
161,mtr,Solubility,linear,MLM,0,2,R2,-0.334889354618525
162,mtr,Solubility,linear,CL,0,2,MAE,0.6175414360642955
163,mtr,Solubility,linear,CL,0,2,RMSE,0.8076852881400586
164,mtr,Solubility,linear,CL,0,2,R2,-0.3312455049246581
165,mtr,Solubility,linear,MTR,0,2,MAE,0.6209722387063435
166,mtr,Solubility,linear,MTR,0,2,RMSE,0.8193581663576346
167,mtr,Solubility,linear,MTR,0,2,R2,-0.3700025730473231
168,mtr,Solubility,linear,No DA,0,3,MAE,0.6544855523862336
169,mtr,Solubility,linear,No DA,0,3,RMSE,0.8373713731712559
170,mtr,Solubility,linear,No DA,0,3,R2,-0.3354206774252404
171,mtr,Solubility,linear,No DA,30,3,MAE,0.6183367598209252
