,objective,dataset,algorithm,da,train_size,fold,metric,value
79,mtr,Solubility,svm,CL,0,3,RMSE,0.741125700526335
80,mtr,Solubility,svm,CL,0,3,R2,-0.067684117435196
81,mtr,Solubility,svm,MTR,0,3,MAE,0.4595388580074462
82,mtr,Solubility,svm,MTR,0,3,RMSE,0.673155407869979
83,mtr,Solubility,svm,MTR,0,3,R2,0.1191748371069004
84,mtr,Solubility,svm,No DA,0,4,MAE,0.4297222860462284
85,mtr,Solubility,svm,No DA,0,4,RMSE,0.6992934821068743
86,mtr,Solubility,svm,No DA,0,4,R2,-0.036273497501913
87,mtr,Solubility,svm,No DA,30,4,MAE,0.3900471845052771
88,mtr,Solubility,svm,No DA,30,4,RMSE,0.5288038500097785
89,mtr,Solubility,svm,No DA,30,4,R2,0.4074231958315758
90,mtr,Solubility,svm,No DA,60,4,MAE,0.395597079993122
91,mtr,Solubility,svm,No DA,60,4,RMSE,0.5325594425132337
92,mtr,Solubility,svm,No DA,60,4,R2,0.3989762840693067
93,mtr,Solubility,svm,No DA,100,4,MAE,0.3969539269650335
94,mtr,Solubility,svm,No DA,100,4,RMSE,0.5339040767821464
95,mtr,Solubility,svm,No DA,100,4,R2,0.3959374596333231
96,mtr,Solubility,svm,MLM,0,4,MAE,0.4277510641243583
97,mtr,Solubility,svm,MLM,0,4,RMSE,0.6691600978354522
98,mtr,Solubility,svm,MLM,0,4,R2,0.0511108022860445
99,mtr,Solubility,svm,CL,0,4,MAE,0.4940804394459448
100,mtr,Solubility,svm,CL,0,4,RMSE,0.7013784303838515
101,mtr,Solubility,svm,CL,0,4,R2,-0.0424620223071459
102,mtr,Solubility,svm,MTR,0,4,MAE,0.4388730965604798
103,mtr,Solubility,svm,MTR,0,4,RMSE,0.6057485497906576
104,mtr,Solubility,svm,MTR,0,4,R2,0.2224287460469576
105,mtr,Solubility,linear,No DA,0,0,MAE,0.6424016672954321
106,mtr,Solubility,linear,No DA,0,0,RMSE,0.842955873943745
107,mtr,Solubility,linear,No DA,0,0,R2,-0.4672932710865742
108,mtr,Solubility,linear,No DA,30,0,MAE,0.5390892861694392
109,mtr,Solubility,linear,No DA,30,0,RMSE,0.7309522413700424
110,mtr,Solubility,linear,No DA,30,0,R2,-0.1032787352833011
111,mtr,Solubility,linear,No DA,60,0,MAE,0.6033408100775872
112,mtr,Solubility,linear,No DA,60,0,RMSE,0.8043482356789302
113,mtr,Solubility,linear,No DA,60,0,R2,-0.3359661993590348
114,mtr,Solubility,linear,No DA,100,0,MAE,0.571970591974878
115,mtr,Solubility,linear,No DA,100,0,RMSE,0.7671549294015463
116,mtr,Solubility,linear,No DA,100,0,R2,-0.2152717521956635
117,mtr,Solubility,linear,MLM,0,0,MAE,0.6324729292855534
118,mtr,Solubility,linear,MLM,0,0,RMSE,0.8192672633136742
119,mtr,Solubility,linear,MLM,0,0,R2,-0.3859847323654659
120,mtr,Solubility,linear,CL,0,0,MAE,0.6417022503487333
121,mtr,Solubility,linear,CL,0,0,RMSE,0.8197782197206452
122,mtr,Solubility,linear,CL,0,0,R2,-0.3877140791782369
123,mtr,Solubility,linear,MTR,0,0,MAE,0.5792122267874346
124,mtr,Solubility,linear,MTR,0,0,RMSE,0.7551655842358141
125,mtr,Solubility,linear,MTR,0,0,R2,-0.1775832562300108
126,mtr,Solubility,linear,No DA,0,1,MAE,0.6038943154716003
127,mtr,Solubility,linear,No DA,0,1,RMSE,0.7674058383387122
128,mtr,Solubility,linear,No DA,0,1,R2,-0.4553695811902334
129,mtr,Solubility,linear,No DA,30,1,MAE,0.5378750995703434
130,mtr,Solubility,linear,No DA,30,1,RMSE,0.7117924370009103
131,mtr,Solubility,linear,No DA,30,1,R2,-0.2520735291271199
132,mtr,Solubility,linear,No DA,60,1,MAE,0.5550895387863305
133,mtr,Solubility,linear,No DA,60,1,RMSE,0.7273367895012933
134,mtr,Solubility,linear,No DA,60,1,R2,-0.3073570284269566
135,mtr,Solubility,linear,No DA,100,1,MAE,0.5561554677534668
136,mtr,Solubility,linear,No DA,100,1,RMSE,0.7178390424672877
137,mtr,Solubility,linear,No DA,100,1,R2,-0.2734363613839798
138,mtr,Solubility,linear,MLM,0,1,MAE,0.6125665357952885
139,mtr,Solubility,linear,MLM,0,1,RMSE,0.7976837479121238
140,mtr,Solubility,linear,MLM,0,1,R2,-0.5724780182638611
141,mtr,Solubility,linear,CL,0,1,MAE,0.567460851729961
142,mtr,Solubility,linear,CL,0,1,RMSE,0.7408032378489419
143,mtr,Solubility,linear,CL,0,1,R2,-0.3562159238718396
144,mtr,Solubility,linear,MTR,0,1,MAE,0.5686323437102971
145,mtr,Solubility,linear,MTR,0,1,RMSE,0.7382467177092678
146,mtr,Solubility,linear,MTR,0,1,R2,-0.3468714434886626
147,mtr,Solubility,linear,No DA,0,2,MAE,0.6756438630190957
148,mtr,Solubility,linear,No DA,0,2,RMSE,0.8677036138610439
149,mtr,Solubility,linear,No DA,0,2,R2,-0.6611118699379321
150,mtr,Solubility,linear,No DA,30,2,MAE,0.5662527853880964
151,mtr,Solubility,linear,No DA,30,2,RMSE,0.7591516609251683
152,mtr,Solubility,linear,No DA,30,2,R2,-0.2714906246434889
153,mtr,Solubility,linear,No DA,60,2,MAE,0.57659733711562
154,mtr,Solubility,linear,No DA,60,2,RMSE,0.7916571870532861
155,mtr,Solubility,linear,No DA,60,2,R2,-0.3827077176147189
156,mtr,Solubility,linear,No DA,100,2,MAE,0.5862854802580209
157,mtr,Solubility,linear,No DA,100,2,RMSE,0.7871400959062014
158,mtr,Solubility,linear,No DA,100,2,R2,-0.3669736398091832
159,mtr,Solubility,linear,MLM,0,2,MAE,0.6363965253934403
